Country ,Time,Percentages,Symbol
United Kingdom,2006,2.46,Inflation ConsumerPrices
United Kingdom,2007,2.39,Inflation ConsumerPrices
United Kingdom,2008,3.52,Inflation ConsumerPrices
United Kingdom,2009,1.96,Inflation ConsumerPrices
United Kingdom,2010,2.49,Inflation ConsumerPrices
United Kingdom,2011,3.86,Inflation ConsumerPrices
United Kingdom,2012,2.57,Inflation ConsumerPrices
United Kingdom,2013,2.29,Inflation ConsumerPrices
United Kingdom,2014,1.45,Inflation ConsumerPrices
United Kingdom,2015,0.37,Inflation ConsumerPrices
United Kingdom,2016,1.01,Inflation ConsumerPrices
United Kingdom,2017,2.56,Inflation ConsumerPrices
United Kingdom,2018,2.29,Inflation ConsumerPrices
United Kingdom,2019,1.74,Inflation ConsumerPrices
United Kingdom,2020,0.99,Inflation ConsumerPrices
United Kingdom,2021,2.52,Inflation ConsumerPrices
United Kingdom,2006,2.16,GDP growth
United Kingdom,2007,2.56,GDP growth
United Kingdom,2008,-0.15,GDP growth
United Kingdom,2009,-4.51,GDP growth
United Kingdom,2010,2.43,GDP growth
United Kingdom,2011,1.07,GDP growth
United Kingdom,2012,1.45,GDP growth
United Kingdom,2013,1.82,GDP growth
United Kingdom,2014,3.2,GDP growth
United Kingdom,2015,2.39,GDP growth
United Kingdom,2016,2.17,GDP growth
United Kingdom,2017,2.44,GDP growth
United Kingdom,2018,1.71,GDP growth
United Kingdom,2019,1.6,GDP growth
United Kingdom,2020,-11.03,GDP growth
United Kingdom,2021,7.52,GDP growth
