Country,Tourism_arrivals,Terrorism_index,Date,,,,,
Argentina,386038,2.66,Sep-22,,,,,
Australia,430470,2.44,Oct-22,,,,,
Brazil,2146,0.95,Dec-20,,,,,
Canada,2029087,3.88,Sep-22,,,,,
China,0,1.86,Dec-21,,,,,
France,2901,4.56,Oct-22,,,,,
Germany,3034,4.73,Sep-22,,,,,
India,498243,7.43,Aug-22,,,,,
Indonesia,678530,5.5,Oct-22,,,,,
Japan,498600,1.46,Oct-22,,,,,
Mexico,1978,2.43,Oct-22,,,,,
Saudi Arabia,15422,3.11,Dec-20,,,,,
Singapore,816254,0,Nov-22,,,,,
South Africa,818002,1.24,Nov-22,,,,,
South Korea,472484,0,Oct-22,,,,,
Spain,7178,2.86,Oct-22,,,,,
Switzerland,1620,2.52,Oct-22,,,,,
Turkey,4803198,5.65,Oct-22,,,,,
United Kingdom,3510,4.77,Sep-22,,,,,
United States,5697087,4.96,Aug-22,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
