Country,Covid_cases,Covid_vaccinations_total,Date,,,,,
Albania,332553,3017443,Dec-22,,,,,
Andorra,47606,154367,Dec-22,,,,,
Austria,5651522,20263306,Dec-22,,,,,
Belarus,994037,16797551,Dec-22,,,,,
Belgium,4664481,29550732,Dec-22,,,,,
Bosnia and Herzegovina,400809,1924950,Dec-22,,,,,
Bulgaria,1290470,4601278,Dec-22,,,,,
Croatia,1259405,5351054,Dec-22,,,,,
Cyprus,625562,1794533,Dec-22,,,,,
Czech Republic,4574354,18583297,Dec-22,,,,,
Denmark,3374393,13180321,Dec-22,,,,,
Estonia,611291,2097194,Dec-22,,,,,
Finland,1428446,13118577,Dec-22,,,,,
France,37814858,152779602,Dec-22,,,,,
Germany,37035898,190202123,Dec-22,,,,,
Greece,5500737,21984888,Dec-22,,,,,
Hungary,2176249,16701238,Dec-22,,,,,
Iceland,207974,805469,Dec-22,,,,,
Ireland,1684717,11086163,Dec-22,,,,,
Italy,24884034,143198121,Dec-22,,,,,
Latvia,971344,2895716,Dec-22,,,,,
Liechtenstein,21145,73920,Dec-22,,,,,
Lithuania,1283459,4537914,Dec-22,,,,,
Luxembourg,310717,1369206,Dec-22,,,,,
Macedonia,345197,1862505,Dec-22,,,,,
Malta,116152,1375243,Dec-22,,,,,
Moldova,596100,2257287,Dec-22,,,,,
Monaco,15833,65140,Dec-22,,,,,
Montenegro,284365,679171,Dec-22,,,,,
Netherlands,8556131,36104942,Dec-22,,,,,
Norway,1472611,12145560,Dec-22,,,,,
Poland,6362604,57727729,Dec-22,,,,,
Portugal,5553251,27762439,Dec-22,,,,,
Romania,3305048,16827486,Dec-22,,,,,
Russia,21728409,183356011,Dec-22,,,,,
Serbia,2435508,8534688,Dec-22,,,,,
Slovakia,1858133,5754313,Dec-22,,,,,
Slovenia,1291635,2996643,Dec-22,,,,,
Spain,13651239,95804542,Dec-22,,,,,
Sweden,2651702,25323075,Dec-22,,,,,
Switzerland,4351866,16817017,Dec-22,,,,,
Turkey,17004677,152543341,Dec-22,,,,,
Ukraine,5350380,31668577,Dec-22,,,,,
United Kingdom,24089042,151248820,Dec-22,,,,,
,,,,,,,,
