Country,Tourist_arrivals,Covid_cases,Date
Argentina,386038,9829236,Sep-22
Australia,430470,10938096,Oct-22
Brazil,2146000,35901978,Dec-20
Canada,2029087,4457366,Sep-22
France,2901000,37814858,Oct-22
Germany,3034000,37035898,Sep-22
India,498243,44676199,Aug-22
Indonesia,678530,6711703,Oct-22
Japan,498600,27187394,Oct-22
Mexico,1978000,7188862,Oct-22
Saudi Arabia,15422000,826575,Dec-20
Singapore,816254,2190057,Nov-22
South Africa,818002,4045262,Nov-22
South Korea,472484,28302474,Oct-22
Spain,7178000,13651239,Oct-22
Switzerland,1620000,4351866,Oct-22
Turkey,4803198,17004677,Oct-22
United Kingdom,3510000,24089042,Sep-22
United States,5697087,98525870,Aug-22
