Date,GRA Purchases,PRGT 1/2/,Totals,Year,Time,World [WLD],Division
08/31/2022,93769635059,15254184552,109023819611,2022,,,
12/31/2021,89474552025,14554823681,104029375706,2021,2021,96100091004541,0.001082511
12/31/2020,93408630285,12481816684,105890446969,2020,2020,84906814189240,0.001247137
12/31/2019,66945509865,6590835450,73536345315,2019,2019,87652863215993,0.00083895
12/31/2018,55395611392,6426181029,61821792421,2018,2018,86413032779060,0.000715422
12/31/2017,39585385873,6522280669,46107666542,2017,2017,81403977427443,0.000566406
12/31/2016,49267630851,6482647937,55750278788,2016,2016,76465590005079,0.00072909
12/31/2015,50757840741,6575911158,57333751899,2015,2015,75179266270828,0.000762627
12/31/2014,69041563463,6292755583,75334319046,2014,2014,79708812241365,0.000945119
12/31/2013,83899249061,6174392682,90073641743,2013,2013,77607198470256,0.001160635
12/31/2012,90042348252,5766292503,95808640755,2012,2012,75488064175234,0.001269189
12/31/2011,87276915790,5308609594,92585525384,2011,2011,73853784046174,0.001253633
12/31/2010,55620104510,4819344134,60439448644,2010,2010,66596051013843,0.000907553
12/31/2009,37221142436,5079705286,42300847722,2009,2009,60809111827059,0.000695633
12/31/2008,17514964723,3972372030,21487336753,2008,2008,64123704273249,0.000335092
12/31/2007,6036146757,3796945581,9833092338,2007,2007,58355015091736,0.000168505
12/31/2006,9822640239,3844020520,13666660759,2006,2006,51779845590496,0.000263938
12/31/2005,28432143237,6282121668,34714264905,2005,2005,47779714794501,0.000726548
12/31/2004,55373766674,6766029353,62139796027,2004,2004,44117601127347,0.001408504
12/31/2003,65032062712,6880893268,71912955980,2003,2003,39146988388575,0.001836998
12/31/2002,63601058794,6868671012,70469729806,2002,2002,34911427050143,0.002018529
12/31/2001,53477225409,6424578684,59901804093,2001,2001,33615435966786,0.001781973
12/31/2000,42990531049,6331595468,49322126517,2000,2000,33830878799863,0.001457903
12/31/1999,51061861875,6434274362,57496136237,1999,1999,32737374968670,0.001756284
12/31/1998,60451017051,6288825925,66739842976,1998,1998,31539957901618,0.002116041
12/31/1997,46559033783,6009867422,52568901205,1997,1997,31620443662619,0.001662497
12/31/1996,36127472805,5881609752,42009082557,1996,1996,31736660050489,0.001323677
12/31/1995,35929173412,5657438528,41586611940,1995,1995,31043647879191,0.001339617
12/31/1994,25611676952,4599768498,30211445450,1994,1994,27872255132401,0.001083925
12/31/1993,25196745031,3942792899,29139537930,1993,1993,25821978923418,0.001128478
12/31/1992,23967172718,3804463796,27771636514,1992,1992,25406106106319,0.001093109
12/31/1991,23378573926,3285717796,26664291722,1991,1991,23759572449577,0.001122255
12/31/1990,20731851093,2571911617,23303762710,1990,1990,22779978683110,0.001022993
12/31/1989,22315104224,2334886562,24649990786,1989,1989,20194003803615,0.001220659
12/31/1988,24750004884,1773964293,26523969177,1988,1988,19337997470087,0.001371599
12/31/1987,28751979125,1866342930,30618322055,1987,1987,17307238004340,0.001769105
12/31/1986,33334905644,2013169931,35348075575,1986,1986,15205315531175,0.002324718
12/31/1985,35194787249,2470247948,37665035197,1985,1985,12860094462310,0.00292883
12/31/1984,34936772393,2769874900,37706647293,1984,1984,12269792365285,0.003073128
,,,,,,,
,,,,,,,
 1/ Includes loans under the Structural Adjustment Facility and Trust Fund.,,,,,,,
,,,,,,,
 2/ Formerly PRGF-ESF.,,,,,,,
