Time,Country,Inflation
2012,United Kingdom,2.57
2012,World,3.73
2013,United Kingdom,2.29
2013,World,2.62
2014,United Kingdom,1.45
2014,World,2.35
2015,United Kingdom,0.37
2015,World,1.43
2016,United Kingdom,1.01
2016,World,1.55
2017,United Kingdom,2.56
2017,World,2.19
2018,United Kingdom,2.29
2018,World,2.44
2019,United Kingdom,1.74
2019,World,2.19
2020,United Kingdom,0.99
2020,World,1.92
2021,United Kingdom,2.52
2021,World,3.42
,,
,,
,,
Data from database: World Development Indicators,,
Last Updated: 09/16/2022,,
