Time,Arrivals_of_tourists,Revenue(EurosMn),Arrivals_of_tourists(%change-previous_year),Revenue(%change-previous_year)
2008,2403750,1792.8,-0.5,-3.5
2009,2141193,1493.2,-10.9,-16.7
2010,2172998,1549.8,1.5,3.8
2011,2392228,1749.3,10.1,12.9
2012,2464908,1927.7,3,10.2
2013,2405390,2082.4,-2.4,8
2014,2441239,2023.4,1.5,-2.8
2015,2659405,2112.1,8.9,4.4
2016,3186531,2363.4,19.8,11.9
2017,3652073,2639.1,14.6,11.7
2018,3938625,2710.6,7.8,2.7
2019,3976777,2683,1,-1
2020,631609,392,-84.1,-85.4
2021,1936931,1513.6,206.7,286.1
