Country,2008
Africa,12336
America,27784
Asia,83650
Australia,11506
Austria,26620
Bahrain,2790
Belarus,2125
Belgium,26368
Bulgaria,10675
Canada,5512
China,722
Croatia,...
Czech Republic,20027
Denmark,38216
Egypt,4351
Estonia,1884
Finland,32333
France,36099
Georgia (Asia),...
Georgia (Europe),95
Germany,132058
Greece,133015
Gulf countries,24366
Hungary,9641
Iceland,281
Iran,1799
Iraq,58
Ireland,23632
Israel,32034
Italy,16859
Japan,354
Jordan,3071
Kuwait,4049
Latvia,2150
Lebanon,14192
Lithuania,2294
Luxambourg,4355
Maghreb countries,643
Malta,3421
Netherlands,26302
New Zealand,654
North America,26744
Norway,63470
Oceania,12200
Other countries of Africa,1092
Other countries of America,...
Other countries of Asia,5657
Other countries of North America,114
Other E.U. countries,...
Other European countries - non EU,4337
Other Gulf countries,1694
Poland,20358
Portugal,855
Qatar,...
Romania,20346
Russia,180926
Saudi Arabia,2978
Serbia,3322
Slovakia,5048
Slovenia,1541
South Africa,6249
South and Central America,1039
South Korea,0
Spain,3641
Sweden,124948
Switzerland,38603
Syria,1392
Total arrivals,2403750
Total arrivals from Europe,2267501
Total arrivals from other European countries - non EU,302146
Turkey,135
Ukraine,8847
United Arab Emirates,12853
United Kingdom ,1242655
United States,21117
