Date,Total_arrivals,Total_arrivals(%change),GDP_growth(%),,,,,,,,,,,,,,
2006,2400924,,4.71,,,,,,,,,,,,,,
2007,2416081,0.631298617,5.10,,,,,,,,,,,,,,
2008,2403750,-0.510371962,3.65,,,,,,,,,,,,,,
2009,2141193,-10.92280811,-2.02,,,,,,,,,,,,,,
2010,2172998,1.485386885,2.28,,,,,,,,,,,,,,
2011,2392228,10.08882659,0.42,,,,,,,,,,,,,,
2012,2464908,3.038171947,-3.45,,,,,,,,,,,,,,
2013,2405390,-2.414613446,-6.59,,,,,,,,,,,,,,
2014,2441239,1.49036123,-1.78,,,,,,,,,,,,,,
2015,2659405,8.936691573,3.42,,,,,,,,,,,,,,
2016,3186531,19.82120061,6.57,,,,,,,,,,,,,,
2017,3652073,14.60968056,5.73,,,,,,,,,,,,,,
2018,3938625,7.846283467,5.65,,,,,,,,,,,,,,
2019,3976777,0.968662922,5.53,,,,,,,,,,,,,,
2020,631609,-84.11756556,-4.37,,,,,,,,,,,,,,
2021,1936931,206.6661495,6.64,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
