Date,Euro:Pound,Tourist_arrivals
2008(Q1),1.3212,
2008(Q2),1.2615,
2008(Q3),1.2586,
2008(Q4),1.1957,1242655
2009(Q1),1.1010,
2009(Q2),1.1389,
2009(Q3),1.1475,
2009(Q4),1.1058,1069196
2010(Q1),1.1269,
2010(Q2),1.1747,
2010(Q3),1.1995,
2010(Q4),1.1639,996046
2011(Q1),1.1710,
2011(Q2),1.1329,
2011(Q3),1.1402,
2011(Q4),1.1660,1020709
2012(Q1),1.1985,
2012(Q2),1.2344,
2012(Q3),1.2633,
2012(Q4),1.2384,959463
2013(Q1),1.1751,
2013(Q2),1.1756,
2013(Q3),1.1708,
2013(Q4),1.1890,891233
2014(Q1),1.2079,
2014(Q2),1.2278,
2014(Q3),1.2599,
2014(Q4),1.2671,871523
2015(Q1),1.3463,
2015(Q2),1.3863,
2015(Q3),1.3937,
2015(Q4),1.3862,1041208
2016(Q1),1.2981,
2016(Q2),1.2702,
2016(Q3),1.1763,
2016(Q4),1.1515,1157978
2017(Q1),1.1627,
2017(Q2),1.1621,
2017(Q3),1.1144,
2017(Q4),1.1269,1253839
2018(Q1),1.1324,
2018(Q2),1.1417,
2018(Q3),1.1207,
2018(Q4),1.1275,1327805
2019(Q1),1.1472,
2019(Q2),1.1436,
2019(Q3),1.1089,
2019(Q4),1.1624,1330635
