Date,GRA Purchases,PRGT 1/2/,Totals
09/30/2022,"91,088,136,681","15,386,591,496","106,474,728,177"
12/31/2021,"89,474,552,025","14,554,823,681","104,029,375,706"
12/31/2020,"93,408,630,285","12,481,816,684","105,890,446,969"
12/31/2019,"66,945,509,865","6,590,835,450","73,536,345,315"
12/31/2018,"55,395,611,392","6,426,181,029","61,821,792,421"
12/31/2017,"39,585,385,873","6,522,280,669","46,107,666,542"
12/31/2016,"49,267,630,851","6,482,647,937","55,750,278,788"
12/31/2015,"50,757,840,741","6,575,911,158","57,333,751,899"
12/31/2014,"69,041,563,463","6,292,755,583","75,334,319,046"
12/31/2013,"83,899,249,061","6,174,392,682","90,073,641,743"
12/31/2012,"90,042,348,252","5,766,292,503","95,808,640,755"
12/31/2011,"87,276,915,790","5,308,609,594","92,585,525,384"
12/31/2010,"55,620,104,510","4,819,344,134","60,439,448,644"
12/31/2009,"37,221,142,436","5,079,705,286","42,300,847,722"
12/31/2008,"17,514,964,723","3,972,372,030","21,487,336,753"
12/31/2007,"6,036,146,757","3,796,945,581","9,833,092,338"
12/31/2006,"9,822,640,239","3,844,020,520","13,666,660,759"
12/31/2005,"28,432,143,237","6,282,121,668","34,714,264,905"
12/31/2004,"55,373,766,674","6,766,029,353","62,139,796,027"
12/31/2003,"65,032,062,712","6,880,893,268","71,912,955,980"
12/31/2002,"63,601,058,794","6,868,671,012","70,469,729,806"
12/31/2001,"53,477,225,409","6,424,578,684","59,901,804,093"
12/31/2000,"42,990,531,049","6,331,595,468","49,322,126,517"
12/31/1999,"51,061,861,875","6,434,274,362","57,496,136,237"
12/31/1998,"60,451,017,051","6,288,825,925","66,739,842,976"
12/31/1997,"46,559,033,783","6,009,867,422","52,568,901,205"
12/31/1996,"36,127,472,805","5,881,609,752","42,009,082,557"
12/31/1995,"35,929,173,412","5,657,438,528","41,586,611,940"
12/31/1994,"25,611,676,952","4,599,768,498","30,211,445,450"
12/31/1993,"25,196,745,031","3,942,792,899","29,139,537,930"
12/31/1992,"23,967,172,718","3,804,463,796","27,771,636,514"
12/31/1991,"23,378,573,926","3,285,717,796","26,664,291,722"
12/31/1990,"20,731,851,093","2,571,911,617","23,303,762,710"
12/31/1989,"22,315,104,224","2,334,886,562","24,649,990,786"
12/31/1988,"24,750,004,884","1,773,964,293","26,523,969,177"
12/31/1987,"28,751,979,125","1,866,342,930","30,618,322,055"
12/31/1986,"33,334,905,644","2,013,169,931","35,348,075,575"
12/31/1985,"35,194,787,249","2,470,247,948","37,665,035,197"
12/31/1984,"34,936,772,393","2,769,874,900","37,706,647,293"
